m/z,I,S/N
307.11871,7.2185,185.27
307.12995,1.3311,34.11
307.15093,0.4333,11.06
307.1551,2.7539,70.64
307.19147,0.3984,10.16
308.07757,1.442,36.95
308.08568,0.6565,16.79
308.11396,2.7167,69.68
308.12207,1.508,38.65
308.1252,0.438,11.18
308.15035,0.5287,13.51
308.15845,0.5273,13.47
308.39701,0.3862,9.85
309.06159,1.3748,35.23
309.07282,0.4599,11.74
309.09798,8.2371,211.42
309.1092,1.8953,48.59
309.11324,0.4067,10.37
309.11731,0.4183,10.67
309.13436,7.347,188.57
309.14559,0.4728,12.07
309.17075,1.0868,27.84
310.09323,2.5471,65.33
310.10133,1.1183,28.64
310.11258,0.5362,13.7
310.12961,1.4904,38.2
310.13772,1.0454,26.77
311.07724,3.0448,78.11
311.08848,0.7941,20.32
311.09248,0.5923,15.14
311.09658,0.4057,10.35
311.11363,7.6852,197.25
311.12486,0.9632,24.66
311.12889,0.6632,16.96
311.15001,2.6207,67.22
311.16864,1.7205,44.11
312.07249,0.5121,8.97
312.0806,0.5341,9.37
312.10887,1.78,32.1
312.11698,1.2105,21.71
312.12414,0.4306,7.48
312.172,0.5083,8.9
313.0565,0.5823,10.25
313.07176,0.506,8.86
313.09289,4.4076,80.03
313.10814,1.3506,24.26
313.12928,4.2577,77.3
313.14453,1.3071,23.47
313.16566,0.4868,8.51
314.08814,0.5537,9.73
314.09624,0.7859,13.96
314.10338,0.5513,9.68
314.12451,0.6166,10.87
314.13263,0.7667,13.61
314.13978,0.5249,9.2
315.05102,0.5084,8.9
315.07214,0.8964,15.98
315.0874,1.5201,27.36
315.09075,0.5876,10.35
315.09863,0.6927,12.26
315.10853,2.5701,46.51
315.12379,2.6746,48.42
315.13503,0.5055,8.85
315.14492,1.0436,18.66
315.16018,1.5327,27.59
316.02433,0.3853,6.65
316.08265,0.6627,11.71
316.11904,0.8816,15.71
316.12713,0.4277,7.43
316.15543,0.4247,7.37
317.06665,0.7746,13.76
317.07004,0.7146,12.66
317.07789,0.4438,7.72
317.0878,0.4789,8.36
317.10305,2.8128,50.94
317.10642,0.4765,8.32
317.11428,0.9754,17.42
317.12418,0.6218,10.97
317.13943,3.1511,57.11
317.1507,0.4371,7.6
317.17582,0.9815,17.53
318.09829,0.8739,15.57
318.10639,0.5645,9.92
318.13468,0.8657,15.42
318.14279,0.7714,13.7
318.31085,0.3841,6.63
319.04592,0.4555,7.94
319.05714,0.3972,6.87
319.08231,2.613,47.29
319.08568,0.6772,11.98
319.09355,1.2305,22.07
319.1187,5.6565,102.81
319.12993,1.1882,21.3
319.15508,3.0074,54.49
319.19145,0.4306,7.48
319.57099,0.3862,6.67
320.07756,1.087,19.45
320.08566,0.5098,8.93
320.11394,2.0451,36.93
320.12205,1.4007,25.18
320.15033,0.6874,12.17
320.15843,0.832,14.8
321.06158,1.4535,26.14
321.07283,0.6859,12.14
321.09798,8.1115,147.6
321.1092,2.9701,53.81
321.13436,9.2945,169.18
321.14559,0.6929,12.27
321.17075,2.3346,42.21
322.05684,0.5214,9.14
322.09322,3.6055,65.4
322.10133,1.5989,28.79
322.10445,0.4134,7.17
322.11256,0.5143,9.01
322.12961,2.5168,45.54
322.13772,1.7489,31.53
322.14083,0.4108,7.12
322.1741,0.584,10.28
323.04086,0.4534,7.9
323.07724,4.8067,87.31
323.08847,1.6395,29.53
323.09658,0.5704,10.03
323.11363,14.2813,260.14
323.12486,3.0803,55.82
323.12889,0.5835,10.27
323.13296,0.4139,7.18
323.15001,6.9421,126.26
323.1864,0.8645,15.4
324.07249,1.3567,24.38
324.08059,0.8842,15.76
324.10887,4.265,77.43
324.11698,2.3337,42.2
324.12012,0.3776,6.51
324.12821,0.4875,8.52
324.14526,1.1475,20.56
324.15336,1.1446,20.51
325.05651,1.1129,19.93
325.07513,0.4056,7.03
325.09289,10.4428,190.12
325.10413,1.5534,27.96
325.10815,0.7651,13.58
325.11224,0.7287,12.92
325.12928,12.6558,230.49
325.14051,1.0584,18.93
325.14452,0.7151,12.67
325.16566,2.551,46.16
325.18429,2.7564,49.91
326.05174,0.383,6.61
326.08814,2.1512,38.87
326.09625,1.8073,32.6
326.12452,2.7617,50
326.13263,2.5436,46.03
326.16902,0.5216,9.14
326.18765,0.657,11.61
327.0544,0.6211,10.96
327.07216,3.1902,57.82
327.08339,0.4162,7.22
327.08741,0.9884,17.66
327.09077,0.6013,10.6
327.0915,0.4094,7.09
327.09864,0.6062,10.69
327.10854,13.0307,237.33
327.11977,0.7907,14.05
327.1238,1.7552,31.64
327.12788,0.5055,8.85
327.14493,6.1387,111.61
327.16018,1.1867,21.27
328.07552,0.4946,8.65
328.08266,0.5835,10.27
328.10379,1.6799,30.27
328.11189,2.2946,41.48
328.11905,0.6888,12.19
328.12718,0.4085,7.08
328.14018,0.6725,11.89
328.14828,1.0089,18.03
329.05142,0.436,7.58
329.06667,0.9334,16.65
329.07004,0.9709,17.34
329.07791,0.571,10.04
329.0878,3.6099,65.48
329.10306,2.5212,45.62
329.10643,0.7142,12.66
329.11429,0.8625,15.36
329.12238,0.4192,7.27
329.12419,5.1358,93.31
329.13944,2.7032,48.94
329.15068,0.5023,8.79
329.16058,1.0756,19.25
329.17583,0.9789,17.48
330.06529,0.5104,8.94
330.09117,0.7313,12.97
330.0983,1.0767,19.27
330.10641,0.4675,8.15
330.12755,0.8622,15.35
330.13469,0.7061,12.51
330.1428,0.5963,10.5
330.14591,0.4124,7.15
331.04931,0.49370000000000003,8.63
331.08233,2.0806,37.58
331.08569,1.3838,24.87
331.09356,0.8844,15.76
331.09539,0.4593,8
331.10346,1.3864,24.92
331.11871,5.2764,95.88
331.12209,0.6414,11.33
331.12995,1.1607,20.8
331.13984,1.0746,19.23
331.1551,3.3966,61.59
331.19149,0.5405,9.49
332.07757,0.9656,17.24
332.08095,0.582,10.24
332.11396,2.0385,36.81
332.12206,1.062,19
332.12519,0.5457,9.58
332.15034000000003,0.6545,11.57
332.15846,0.7101,12.58
332.89331,0.4142,7.18
332.89776,0.4362,7.58
332.99511,0.578,10.17
333.01536,0.3914,6.77
333.0158,0.4124,7.15
333.02131,0.4297,7.46
333.0221,0.4068,7.05
333.0281,0.3921,6.78
333.02964,0.5001,8.75
333.03516,0.4156,7.21
333.03957,0.3921,6.78
333.06159,1.2563,22.54
333.06497,1.097,19.64
333.07281,0.7716,13.7
333.07468,0.4679,8.16
333.09798,6.9986,127.29
333.10135,1.1648,20.87
333.10921,2.5035,45.3
333.11103,0.612,10.79
333.11731,0.4287,7.45
333.13436,9.9668,181.44
333.1456,1.0758,19.25
333.17075,3.382,61.32
333.2071,0.383,6.61
334.05685,0.4619,8.05
334.06494,0.4141,7.18
334.09322,2.8277,51.21
334.10133,1.3022,23.38
334.10446,0.6506,11.49
334.11256,0.4932,8.62
334.12961,2.567,46.45
334.13771,2.0969,37.88
334.14084,0.5651,9.93
334.16599,0.4044,7
334.1741,0.8032,14.28
335.04084,0.4053,7.02
335.07724,4.9718,90.32
335.08061,0.8547,15.22
335.08847,2.209,39.92
335.09657,0.4469,7.78
335.11363,16.058,292.55
335.12486,4.0756,73.97
335.13297,0.6172,10.88
335.15001,11.7142,213.32
335.1864,1.7057,30.74
336.07248,1.8961,34.21
336.08059,0.8803,15.68
336.10888,5.1716,93.97
336.11698,2.9093,52.7
336.12011,0.8535,15.2
336.12822,0.7986,14.19
336.14526,1.9756,35.67
336.15337,2.283,41.27
336.23272,0.4062,7.04
337.0565,1.6241,29.25
337.06774,0.4313,7.49
337.09092,0.4104,7.11
337.09289,15.0806,274.73
337.10413,4.3083,78.22
337.11224,1.0002,17.87
337.12761,0.7324,12.99
337.12788,0.6588,11.64
337.12928,21.5822,393.33
337.14052,2.5189,45.58
337.15428000000003,0.3943,6.82
337.15487,0.3896,6.73
337.15521,0.4068,7.05
337.16566,6.9834,127.02
337.20205,0.6819,12.07
338.08814,4.9971,90.78
338.09625,2.6956,48.8
338.09936,0.4989,8.73
338.10747,0.7001,12.4
338.12452,5.9142,107.51
338.13263,4.2889,77.86
338.13576,0.4728,8.25
338.14386,0.4462,7.77
338.16091,1.0211,18.25
338.16901,1.5299,27.53
339.07215,6.4865,117.95
339.08339,1.0909,19.53
339.0874,0.5217,9.14
339.09078,0.6516,11.51
339.09149,0.801,14.24
339.10854,28.8398,525.72
339.10975,0.3791,6.54
339.11977,4.0932,74.29
339.1238,0.9956,17.79
339.12788,1.1425,20.47
339.13352,0.4901,8.57
339.14493,17.6927,322.37
339.15615,0.7816,13.88
339.16018,0.5424,9.52
339.18131,2.4159,43.7
339.19994,2.6635,48.21
340.03908,0.4028,6.97
340.0674,1.0246,18.32
340.07551,1.0637,19.03
340.10379,6.5671,119.42
340.1119,5.2507,95.41
340.12312,0.744,13.2
340.14018,3.0957,56.1
340.14828,3.3817,61.31
340.18467,0.5368,9.42
340.2033,0.4833,8.44
341.05142,0.9731,17.38
341.06667,0.5048,8.83
341.07004,1.0134,18.11
341.0779,0.3861,6.67
341.0878,12.8849,234.67
341.09903,1.0675,19.1
