m/z,I,S/N
307.19152,0.5365,14.66
308.07762,0.4812,13.15
308.09694,0.5445,14.88
308.114,1.3655,37.38
308.1221,0.5294,14.47
308.12523,1.1283,30.88
308.13334,0.5052,13.8
308.15038,0.7968,21.8
308.1585,0.468,12.79
308.84037,0.7006,19.16
308.85908,0.8525,23.32
308.89944,1.0346,28.32
309.06161,0.6309,17.25
309.07286,0.5858,16.01
309.09801,2.1904,59.99
309.10924,3.3649,92.18
309.13439,2.2078,60.47
309.14563,1.3489,36.93
309.15302,0.7116,19.46
309.17078,0.9843,26.94
309.17415,2.0747,56.82
310.09326,1.1669,31.94
310.12964,0.829,22.68
310.13776,0.4985,13.62
310.14088,0.5208,14.23
310.83834,0.9968,27.28
311.07728,0.8882,24.3
311.0885,0.8868,24.27
311.11366,2.2523,61.69
311.1249,1.3292,36.39
311.15004,0.9594,26.25
311.16746,0.6312,17.26
311.16867,37.316,1022.7
311.17239,0.6568,17.96
312.10891,0.7091,19.4
312.17203,6.8398,187.42
312.83629,0.5906,16.15
313.09292,1.5298,41.89
313.10416,0.6336,17.32
313.10818,0.5523,15.1
313.1293,1.4045,38.45
313.14455,0.6748,18.45
313.16447,1.7725,48.54
313.17538,0.877,24
313.23846,0.6494,17.76
314.12456,0.5068,7.83
314.13981,0.5161,7.98
314.7888,0.5509,8.53
315.08745,0.5991,9.3
315.10857,0.9072,14.24
315.12382,1.1246,17.72
315.13506,0.9385,14.74
315.16022,1.0396,16.36
315.19659,0.4783,7.37
316.11909000000003,0.6558,10.21
316.13029,0.7307,11.41
316.92221,0.5315,8.22
317.10309,1.1164,17.59
317.11432,1.315,20.77
317.13947,2.1119,33.53
317.15071,0.654,10.18
317.17586,0.8516,13.35
317.2132,0.471,7.25
317.21377,0.599,9.3
317.21854,0.4613,7.1
317.22193,0.4832,7.45
317.22222,0.606,9.42
317.22437,0.5105,7.89
317.22557,0.4679,7.2
317.22607,0.6765,10.54
317.22847,0.5297,8.19
317.23212,0.5421,8.39
317.23244,0.5872,9.11
317.23412,0.49,7.56
317.23602,0.4906,7.57
317.23886,0.5874,9.12
317.24186,0.6045,9.39
317.24591,0.5065,7.82
317.24619,0.7958,12.45
317.24693,0.6728,10.49
317.24797,0.591,9.18
