m/z,I,S/N
301.12927,2.3355,33.38
301.14453,1.5552,22.17
301.18091,0.7772,10.98
301.36544,0.7162,10.11
301.81286,0.784,11.08
302.09624,0.6816,9.61
302.1034,0.6,8.44
302.13262,0.5164,7.23
302.13978,0.5485,7.7
302.80656,3.6813,52.72
302.80746,5.2895,75.84
302.86694,0.5005,7.01
302.87061,0.4995,6.99
302.87193,0.569,7.99
302.87344,0.7332,10.35
302.87376,0.846,11.97
302.87405,0.5314,7.45
302.87564,0.6006,8.45
302.87671,0.8192,11.59
302.89271,0.5419,7.6
302.91218,0.5025,7.04
303.05103,0.533,7.47
303.05438,0.6563,9.25
303.06225,0.5329,7.47
303.07215,1.1256,15.99
303.08741,1.7918,25.57
303.09865,1.3509,19.23
303.10854,1.4122,20.11
303.12379,3.2611,46.68
303.13503,1.031,14.63
303.16018,2.3072,32.97
303.81082,0.5244,7.35
303.99868,0.5716,8.03
304.08266,0.9909,14.05
304.11905,1.1622,16.52
304.12716,0.6077,8.55
304.23705,0.6015,8.46
304.80452,1.5008,21.38
305.06667,1.2251,17.42
305.07791,1.0097,14.33
305.10306,4.1864,59.98
305.11429,2.551,36.48
305.13945,3.9005,55.87
305.15067,0.5932,8.34
305.17583,1.7135,24.44
306.06193,0.6594,9.29
306.09831,1.9519,27.87
306.10641,0.7675,10.84
306.10955,0.873,12.36
306.11763,0.558,7.83
306.1347,1.196,17
306.14281,0.846,11.97
306.87979,0.6717,9.47
306.90144,0.6791,9.57
306.90709,0.7121,10.05
307.04594,0.6648,9.37
307.08232,4.3887,62.89
307.09356,3.2502,46.53
307.11871,9.1169,130.85
307.12994,3.1545,45.15
307.1551,4.1424,59.35
307.19149,0.8767,12.41
307.65458,0.7462,10.54
308.07758,2.2878,32.7
308.08568,0.7366,10.4
308.08881,0.5855,8.23
308.09691,0.5341,7.49
308.11396,3.825,54.79
308.12206,1.6435,23.43
308.12519,0.9589,13.6
308.1333,0.5698,8
308.15034000000003,1.0604,15.05
308.15846,0.8742,12.38
308.84036,0.6833,9.63
308.8994,0.8129,11.5
309.06159,2.3181,33.13
309.07282,1.2707,18.08
309.09798,11.4481,164.35
309.10921,5.6696,81.3
309.11732,0.634,8.93
309.13436,10.2127,146.6
309.1456,1.614,23.01
309.17074,2.4352,34.81
310.05683,0.8819,12.49
310.09323,4.4758,64.14
310.10133,1.6943,24.16
310.10447,0.7305,10.31
310.11257,0.8986,12.73
310.12961,2.7768,39.72
310.13771,1.6686,23.8
310.83831,1.3165,18.73
311.04086,0.6939,9.79
311.07724,6.6408,95.26
311.08847,2.2242,31.78
311.11363,13.9986,201.01
311.12486,2.5273,36.14
311.15001,4.4663,64.01
311.16864,6.2317,89.38
312.07249,1.8059,25.77
312.0806,1.0277,14.58
312.10888,3.7214,53.3
312.11698,2.2432,32.05
312.14526,0.7229,10.2
312.15337,0.9462,13.41
312.17199,1.3254,18.86
312.83627,0.6319,8.9
313.05651,2.0711,29.58
313.07174,0.5978,8.41
313.09289,11.3254,162.59
313.10412,1.4453,20.59
313.10815,0.7683,10.86
313.11223,0.5508,7.73
313.12928,9.1116,130.77
313.14052,0.5277,7.4
313.14453,0.7659,10.82
313.16566,1.0357,14.7
313.1809,0.5097,7.14
314.08813,1.9202,27.41
314.09624,1.8532,26.45
314.10341,0.4989,6.98
314.12452,1.2857,18.29
314.13263,1.6436,23.44
315.07215,4.2957,61.55
315.08741,0.846,11.97
315.09863,0.6912,9.75
315.10854,7.3371,105.27
315.12379,1.8475,26.37
315.13503,0.5928,8.33
315.14492,2.3578,33.7
315.15845,0.6193,8.71
315.16017,1.3328,18.97
316.08266,0.5053,7.07
316.10379,0.7611,10.75
316.11189,1.0768,15.29
316.11905,0.7729,10.92
317.06667,0.7185,10.14
317.07003,0.711,10.03
317.07791,0.5585,7.84
317.0878,2.3236,33.21
317.10305,2.1787,31.13
317.11429,1.1249,15.98
317.12418,1.798,25.66
317.13944,2.8606,40.93
317.15068,0.6138,8.64
317.17583,1.1815,16.79
317.20327,0.5023,7.03
317.22024,0.575,8.08
317.22624,0.7122,10.05
317.22644,0.5856,8.23
317.22689,0.6215,8.75
317.22759,0.559,7.85
317.22843,0.6488,9.14
317.23047,0.5578,7.83
317.23103,0.5391,7.56
317.23296,0.6612,9.32
317.23431,0.5332,7.48
317.23641,0.5606,7.87
317.24016,0.5573,7.82
317.24623,0.5,7
317.24867,0.5761,8.09
317.25301,0.5051,7.07
318.09831,0.8544,12.09
318.10953,0.7502,10.6
318.13468,0.9002,12.75
318.92012,0.5038,7.05
319.08232,2.2747,32.51
319.08568,0.55,7.72
319.09355,1.9522,27.87
319.10346,0.5326,7.47
319.1187,5.552,79.61
319.12994,1.8868,26.93
319.15509,3.8291,54.85
319.19148,0.9936,14.09
320.07756,1.6152,23.03
320.08566,0.5369,7.53
320.11395,2.4292,34.73
320.12205,1.1068,15.72
320.12519,1.3651,19.43
320.15034000000003,0.9493,13.46
320.15843,0.8635,12.22
320.92275,1.0887,15.46
321.0616,1.8958,27.06
321.07284,1.1629,16.53
321.09798,9.4362,135.44
321.10921,6.6376,95.21
321.13437,11.7124,168.15
321.1456,1.8749,26.76
321.17075,4.0876,58.56
321.20712,0.605,8.51
321.21051,0.6005,8.44
322.05685,1.0294,14.61
322.09323,5.3636,76.9
322.10133,1.9042,27.18
322.10446,1.4678,20.91
322.11256,1.226,17.43
322.12961,3.7784,54.12
322.13772,2.3059,32.96
322.14084,1.0167,14.43
322.166,0.7366,10.4
322.17409,1.2084,17.18
322.83831,0.6492,9.14
322.856,0.6363,8.96
322.87469,0.6713,9.46
322.89635,0.5158,7.23
323.03722,0.5989,8.42
323.04085,0.8956,12.69
323.07724,7.9832,114.55
323.08847,4.2941,61.53
323.09658,0.8576,12.14
323.11362,20.0132,287.46
323.12486,6.9099,99.13
323.15001,10.453,150.05
323.16125,0.5852,8.22
323.1864,2.0225,28.88
324.07249,3.1983,45.78
324.08059,1.1171,15.87
324.09183,0.5398,7.57
324.10888,6.9889,100.26
324.11698,3.1114,44.53
324.12011,0.8888,12.59
324.12821,1.2549,17.85
324.14526,2.1399,30.57
324.15337,2.2205,31.73
324.18169,0.513,7.19
324.18974,0.5,7
324.85396,0.5419,7.6
325.0565,3.3633,48.15
325.06773,1.0065,14.28
325.07585,0.788,11.14
325.09289,20.3603,292.45
325.10412,5.6055,80.38
325.11223,1.3207,18.8
325.12928,20.7621,298.22
325.14051,2.4225,34.63
325.14454,0.6899,9.73
325.16566,4.7976,68.77
325.18429,11.2612,161.67
326.05987,0.6168,8.68
326.08814,6.0054,86.13
326.09625,3.5091,50.25
326.09938,0.6153,8.66
326.10748,0.8775,12.43
326.12453,5.0643,72.6
326.13263,3.579,51.25
326.1609,0.7359,10.39
326.16901,1.0307,14.63
326.18764,2.3695,33.87
326.80647,1.2996,18.49
327.05439,0.527,7.39
327.07215,10.3664,148.81
327.08338,1.7062,24.34
327.0874,0.6539,9.21
327.09148,1.0297,14.61
327.09863,0.605,8.51
