m/z,I,S/N
305.17579,0.8707,22
306.09827,0.667,16.83
306.10639,0.4929,12.41
306.10951,1.1719,29.64
306.13465,0.6256,15.78
306.14589,0.491,12.36
306.7568,0.4464,11.23
306.90139,0.9402,23.76
307.08229,0.9598,24.26
307.09352,1.8614,47.14
307.11867,2.1345,54.06
307.12991,2.1873,55.41
307.15506,1.4987,37.93
307.19145,0.4229,10.63
307.85205,0.408,10.26
308.07754,0.5914,14.91
308.08878,0.441,11.09
308.09688,0.4163,10.47
308.11392,1.1272,28.51
308.12201,0.4035,10.14
308.12516,1.0491,26.53
308.13327,0.5289,13.33
308.1503,0.4293,10.8
308.8403,0.6271,15.82
308.85902,0.7554,19.07
308.89936,1.1375,28.77
309.06155,0.4736,11.92
309.09794,1.9185,48.58
309.10917,3.1367,79.49
309.13432,2.0284,51.37
309.14555,1.2004,30.36
309.17071,0.8557,21.62
310.09319,1.0564,26.71
310.10442,0.6424,16.2
310.12957,0.802,20.25
310.83827,1.0054,25.41
311.0772,0.9044,22.85
311.08843,1.0609,26.82
311.11358,1.7625,44.63
311.12482,1.3501,34.16
311.14997,1.0116,25.57
311.1686,2.3609,59.81
312.10884,0.8597,21.72
312.17195,0.5158,12.99
312.83622,0.6213,15.67
313.09285,1.2302,31.12
313.1041,0.6126,15.45
313.12923,1.2321,31.17
313.14449,0.7623,19.25
314.05826,0.4207,10.58
314.12448,0.4799,12.08
315.08738,0.5426,13.67
315.09859,0.5463,13.77
315.1085,0.8712,22.01
315.12376,0.8377,21.16
315.135,0.5446,13.72
315.16015,1.0495,26.53
316.119,0.5435,13.7
316.13025,0.6515,16.43
316.92213,0.5101,12.85
317.10302,0.9444,23.87
317.11426,1.1206,28.34
317.13941,1.359,34.39
317.15064,0.6745,17.02
317.17579,0.7836,19.79
317.18691,0.442,11.12
317.18731,0.4096,10.3
317.21236,0.4059,10.2
317.21551,0.4491,11.3
317.33829,0.4389,11.04
318.09828,0.6349,16.01
318.10951,0.7367,18.6
318.13466,0.6599,16.65
318.14275,0.505,12.72
318.14587,0.4502,11.33
318.92009,0.494,12.44
319.08229,0.7236,18.26
319.09351,1.5147,38.34
319.11867,2.0518,51.97
319.12991,1.8178,46.03
319.15505,2.1643,54.82
319.19145,0.5068,12.77
319.23495,0.4134,10.4
320.08876,0.5565,14.03
320.11392,1.3415,33.94
320.12515,1.7225,43.61
320.15031,0.7048,17.79
320.1584,0.5166,13.01
320.92272,0.6328,15.96
321.06156,0.43120000000000003,10.84
321.07281,0.6786,17.12
321.09796,2.1853,55.35
321.10919,5.0954,129.2
321.13434,3.7985,96.29
321.14558,1.6563,41.93
321.17072,1.877,47.53
322.0932,1.79,45.32
322.10444,1.7818,45.12
322.11255,1.0299,26.04
322.12958,1.7156,43.44
322.13769,0.738,18.63
322.14082,1.334,33.75
322.16599,0.4275,10.75
322.17409,0.4472,11.25
322.83828,0.7113,17.95
322.89632,0.4838,12.18
323.07723,1.3729,34.74
323.08845,2.3346,59.14
323.11361,4.1367,104.87
323.12484,4.8981,124.19
323.14999,3.1266,79.24
323.16122,0.4504,11.33
323.18638,0.6622,16.71
324.07246,0.7459,18.83
324.09181,0.4428,11.14
324.10886,2.0341,51.52
324.11697,0.804,20.31
324.12008,1.157,29.26
324.1282,0.8002,20.21
324.14524,0.801,20.23
324.15334,0.6855,17.3
324.85393,0.6784,17.12
324.89429,0.5344,13.47
325.05648,0.5323,13.41
325.06773,0.4987,12.56
325.09287,2.9283,74.21
325.1041,3.1312,79.36
325.1122,0.4204,10.57
325.12926,3.8276,97.02
325.14049,1.6676,42.22
325.1445,0.4043,10.16
325.16564,1.2206,30.88
325.18427,2.49,63.09
326.08811,1.1206,28.34
326.09621,0.4674,11.76
326.09936,0.4941,12.44
326.10745,0.5531,13.94
326.1245,1.3638,34.51
326.13261,0.8429,21.29
326.13573,0.5341,13.46
326.18763,0.5308,13.37
326.80644,0.9155,23.13
326.85189,0.5325,13.42
327.07214,1.1582,29.29
327.08336,0.624,15.74
327.10851,3.592,91.05
327.11975,1.4177,35.88
327.12377,0.5497,13.85
327.14491,1.8491,46.82
327.16016,0.808,20.41
327.19655,0.4475,11.26
328.10377,0.9311,23.53
328.11187,0.7886,19.91
328.13026,0.6466,16.31
328.14825,0.5198,13.09
328.8044,1.5367,38.9
328.82209,0.8272,20.89
329.08779,1.5027,38.03
329.10303,0.9463,23.92
329.11427,0.8932,22.57
329.12416,1.6154,40.89
329.13943,1.562,39.54
329.15066,0.626,15.79
329.1758,0.8429,21.29
329.21215,0.4161,10.46
329.65728,0.6121,15.44
