m/z,I,S/N
302.11464,0.6642,13.7
302.13978,0.4595,9.44
302.80656,1.078,22.3
302.80746,1.6015,33.19
302.93326,0.4051,8.31
303.0874,0.5505,11.33
303.09864,0.9423,19.48
303.10853,0.5163,10.62
303.1238,1.5852,32.85
303.13503,0.9331,19.29
303.16019,1.2022,24.88
304.0939,0.5386,11.08
304.11904,0.5571,11.47
304.13028,0.697,14.38
305.07791,0.5741,11.82
305.10307,1.2936,26.78
305.1143,2.1103,43.77
305.13945,1.738,36.02
305.15069,0.3981,8.16
305.17584,0.8115,16.76
305.57423,0.433,8.89
306.09831,0.6298,12.98
306.10955,1.1527,23.85
306.11766,0.5614,11.56
306.1347,0.6874,14.18
306.14594,0.4321,8.87
307.08233,0.8902,18.4
307.09356,2.0903,43.35
307.11872,2.138,44.34
307.12995,2.7561,57.2
307.1551,1.5729,32.59
307.19149,0.4268,8.76
308.07756,0.5865,12.08
308.08881,0.5127,10.55
308.09692,0.4436,9.11
308.11396,1.4825,30.71
308.12207,0.4283,8.79
308.12519,1.3397,27.74
308.1333,0.5009,10.3
308.15036,0.4889,10.05
308.89939,0.4476,9.19
309.06158,0.4573,9.39
309.07283,0.6158,12.69
309.09798,2.028,42.06
309.10921,3.8639,80.23
309.13436,2.121,43.99
309.1456,1.2484,25.84
309.153,0.9483,19.6
309.17075,0.82,16.93
310.09322,1.1575,23.95
310.10446,0.763,15.75
310.11256,0.5775,11.89
310.12961,0.8323,17.19
310.13773,0.4812,9.89
310.14083,0.4965,10.21
310.83831,0.4279,8.78
311.07723,0.9051,18.71
311.08848,1.0606,21.94
311.11363,1.8631,38.63
311.12486,1.5285,31.67
311.15001,1.0567,21.86
311.16221,0.8279,17.1
311.16235,0.8241,17.02
311.16475,4.9232,102.26
311.16727,1.8324,37.99
311.16746,1.7904,37.11
311.16864,80.6953,1677.89
311.16979,0.838,17.31
311.16995,0.6861,14.15
311.17217,0.6107,12.58
311.17521,0.5122,10.53
312.10888,0.8275,17.09
312.16802,0.8188,16.91
312.17052,0.4779,9.82
312.17077,0.4717,9.69
312.17098,0.4565,9.38
312.17199,15.0711,313.28
312.17492,0.4205,8.63
313.09289,1.4904,30.88
313.10413,0.7201,14.86
313.11938,0.5779,11.9
313.12928,1.2772,26.44
313.14452,0.8213,16.96
313.16443,4.0377,83.84
313.17289,0.5722,11.78
313.17535,1.3594,28.15
313.18092,0.4733,9.73
314.08814,0.4816,9.9
314.16778,0.8467,17.49
314.80645,0.4091,8.39
315.07214,0.5569,11.47
315.08743,0.5002,10.29
315.09863,0.4198,8.61
315.10852,1.1502,23.8
315.12379,0.9949,20.57
315.13502,0.6358,13.11
315.14492,0.6022,12.41
315.16018,1.0251,21.2
316.11904,0.4792,9.85
316.13028,0.562,11.57
316.15544,0.4456,9.15
316.80443,0.5588,11.5
317.10306,0.8772,18.12
317.11429,1.1545,23.89
317.13945,1.3384,27.72
317.15068,0.7104,14.66
317.17582,0.6962,14.36
317.18705,0.4163,8.54
317.20144,0.4959,10.2
317.20496,0.4093,8.4
317.20593,0.4141,8.49
317.20615,0.4484,9.21
317.20814,0.4014,8.23
317.21163,0.6313,13.01
317.21475,0.4338,8.91
317.21735,0.5479,11.28
317.21867,0.3974,8.15
317.22034,0.548,11.28
317.22382,0.5395,11.1
317.23435,0.421,8.64
318.09832,0.5508,11.34
318.10954,0.9618,19.88
318.13469,0.6952,14.34
318.14592,0.6168,12.71
319.08232,0.8965,18.53
319.09356,1.8459,38.27
319.11871,2.0486,42.48
319.12994,2.0982,43.52
319.15509,2.0385,42.27
319.16632,0.487,10.01
320.07758,0.5397,11.11
320.0888,0.5546,11.42
320.11395,1.3858,28.7
320.12206,0.5121,10.53
320.12518,2.1148,43.86
320.15035,0.6128,12.63
321.0616,0.4629,9.51
321.07282,0.7145,14.74
321.09798,2.1438,44.46
321.10921,5.5619,115.54
321.12855,0.5701,11.74
321.13436,3.7026,76.88
321.14559,1.9127,39.66
321.17075,1.7983,37.28
322.09322,1.8727,38.83
322.10135,0.6261,12.9
322.10446,1.9454,40.34
322.11257,1.0861,22.47
322.1296,1.8263,37.86
322.13772,0.8013,16.55
322.14084,1.641,34.01
322.14895,0.3937,8.07
322.16601000000003,0.5422,11.16
322.83831,0.5225,10.75
323.07724,1.5445,32
323.08848,2.7953,58.01
323.11363,4.3392,90.12
323.12486,5.6291,116.94
323.15001,3.3647,69.85
323.16125,0.6435,13.26
323.16864,0.938,19.39
323.18639,0.7477,15.43
324.0725,0.6881,14.19
324.09184,0.4974,10.23
324.10887,2.2946,47.6
324.11698,0.7331,15.13
324.12011,1.4203,29.42
324.12822,0.8768,18.12
324.14527,1.0649,22.03
324.15336,0.5151,10.59
325.05651,0.4938,10.15
325.09289,2.9441,61.1
325.10413,3.7282,77.41
325.12928,3.9692,82.42
325.14051,1.8184,37.7
325.14454,0.4594,9.44
325.14791,0.6276,12.93
325.16566,1.4007,29.01
325.17689,0.5453,11.22
325.17747,0.4144,8.5
325.17998,3.583,74.39
325.18242,0.4163,8.54
325.18299,0.7885,16.28
325.18429,54.4957,1133.08
325.18571,0.6708,13.83
325.18593,0.5,10.28
325.18809,0.5967,12.29
326.08814,1.3564,28.09
326.09624,0.539,11.09
326.10749,0.5412,11.14
326.12452,1.4615,30.28
326.13262,0.7568,15.62
326.13576,0.5385,11.08
326.14388,0.4158,8.53
326.16091,0.4103,8.42
326.18366,0.6159,12.69
326.18764,12.1742,253.04
326.80647,0.6849,14.13
327.07216,1.5692,32.51
327.08339,0.5829,12
327.0874,0.4981,10.24
327.10854,3.6712,76.22
327.11977,1.5918,32.98
327.1238,0.8764,18.11
327.13502,0.6442,13.28
327.14493,2.1104,43.77
327.16018,0.8746,18.07
327.16356,0.7521,15.52
327.18009,2.9151,60.5
327.1813,0.41,8.41
327.191,1.1579,23.96
328.10379,1.066,22.05
328.11188,0.8321,17.19
328.11905,0.5267,10.84
328.13028,0.4452,9.14
328.14016,0.4918,10.11
328.14828,0.5034,10.35
328.18343,0.6356,13.1
328.80442,1.0163,21.02
329.05144,0.4656,9.57
329.0878,1.7186,35.62
329.09096,0.4148,8.51
329.10306,0.7927,16.37
329.11429,0.9168,18.95
329.12419,1.8997,39.39
329.13944,1.4021,29.04
329.15069,0.7332,15.13
329.17584,0.8917,18.43
329.23334,1.5364,31.83
329.6573,0.5949,12.26
330.09831,0.4654,9.56
330.10954,0.8728,18.03
330.13469,0.7004,14.45
330.14593,0.706,14.57
330.23671,0.4209,8.64
330.82008,0.785,16.21
331.08233,0.7489,15.46
331.09357,1.0935,22.62
331.10346,1.0555,21.83
331.11871,1.9066,39.53
331.12995,1.8861,39.11
331.13985,0.5511,11.34
331.1551,2.1248,44.07
331.16634,0.4553,9.35
331.19149,0.7778,16.06
331.65436,0.4319,8.86
331.65526,0.7787,16.08
332.08881,0.6143,12.66
332.11396,1.1241,23.26
332.12206,0.4079,8.37
332.1252,2.3596,48.95
332.15035,0.8807,18.2
332.15845,0.5374,11.06
332.16159,0.6048,12.46
332.77257,0.723,14.92
332.7954,0.4031,8.27
332.81714,0.4243,8.71
332.98863,0.5011,10.3
332.98971,0.4985,10.25
332.99098,0.5909,12.17
332.99126,0.509,10.47
332.99605,0.4226,8.67
332.99847,0.4647,9.55
332.99927,0.4128,8.47
333.00101,0.4166,8.55
333.00617,0.4672,9.6
333.00918,0.6396,13.18
333.01265,0.3951,8.1
333.01331,0.6272,12.93
333.01361000000003,0.4732,9.72
333.01507,0.4476,9.19
333.0616,0.5271,10.84
333.07283,0.8402,17.36
333.09798,2.4857,51.57
333.10921,4.3768,90.9
333.13436,4.7108,97.84
333.1456,2.3394,48.53
333.17075,2.6525,55.04
333.20711,0.5223,10.74
334.09322,1.6777,34.77
334.10134,0.4936,10.15
334.10446,2.7526,57.12
334.11257,0.7747,15.99
334.12961,2.226,46.17
334.13772,0.8625,17.82
334.14085,2.7651,57.38
334.14897,0.485,9.97
334.16599,0.9176,18.96
334.17409,0.7482,15.44
334.76963,0.4721,7.34
334.77054,1.6636,27.02
335.07724,1.6806,27.3
335.08847,4.1741,68.5
335.10783,0.4059,6.24
335.11363,6.3085,103.76
335.12486,8.1017,133.39
335.13296,0.4215,6.5
335.13609,0.4551,7.06
335.14419,0.4968,7.75
335.15001,6.8,111.88
335.16124,1.4703,23.83
335.1864,1.8144,29.51
336.07249,1.1514,18.56
336.08372,0.8797,14.07
336.09183,0.7373,11.72
336.10888,3.6454,59.76
336.11698,1.3762,22.27
336.12011,4.2349,69.5
336.12821,1.3414,21.7
336.14526,2.2836,37.27
336.15337,1.1868,19.14
336.15649,1.2668,20.47
336.18165,0.5024,7.84
336.76758,0.9721,15.6
336.76849,0.7285,11.57
337.0565,0.6912,10.96
337.06774,0.9429,15.11
337.09289,4.9431,81.2
337.10412,9.6776,159.42
337.11223,0.7041,11.17
337.11536,0.4971,7.75
337.12346,0.7159,11.36
337.12928,9.0214,148.58
337.14051,4.7995,78.83
337.16566,4.9221,80.86
337.1843,0.5915,9.31
337.20206,0.5692,8.94
338.08814,3.3785,55.35
338.09625,0.6015,9.47
338.09937,1.7944,29.18
338.10748,1.676,27.23
338.12452,4.2049,69.01
338.13263,1.7274,28.08
338.13576,2.3229,37.91
338.14386,1.0605,17.06
338.16091,1.0619,17.08
338.16902,1.0958,17.64
338.76554,0.6205,9.79
338.83323,0.5248,8.21
339.07215,2.403,39.24
339.08339,2.8151,46.05
339.09149,0.6592,10.43
339.10854,9.4455,155.59
339.11977,8.4914,139.83
339.12379,0.6261,9.88
339.12787,0.8476,13.54
339.13099,0.4104,6.32
339.13913,0.4537,7.03
339.14493,7.9089,130.2
339.15616,1.37,22.17
339.16018,2.0667,33.68
339.16355,0.5529,8.67
339.18131,1.6315,26.49
339.19483,0.4958,7.73
339.19515,0.4167,6.42
339.19994,23.3386,385.12
339.79973,0.5405,8.47
340.0674,0.8493,13.57
340.07549,0.4875,7.59
340.10379,4.1829,68.64
340.11189,1.6629,27.01
340.11502,1.3785,22.31
340.12313,1.4827,24.03
340.14018,2.0993,34.22
340.14827,1.3443,21.75
340.15141,0.5589,8.77
340.16353,0.5716,8.98
340.20329,5.0571,83.09
340.88525,0.5958,9.38
341.05141,0.6531,10.33
341.0878,5.1024,83.84
341.09096,0.4264,6.58
341.09904,2.3823,38.9
341.10306,0.5505,8.63
341.10715,0.5697,8.95
341.11429,1.0489,16.87
341.12418,7.5045,123.52
341.13542,2.2676,37
341.13944,0.9547,15.31
341.14282,0.4296,6.63
341.15066,0.4711,7.32
341.16057,2.5112,41.03
341.17919,0.9603,15.4
341.19574,0.958,15.36
341.20665,0.5076,7.92
341.79681,0.4325,6.68
341.79769,0.5413,8.48
342.08305,1.1805,19.04
342.09116,0.761,12.11
342.09431,0.4805,7.48
342.09831,0.4018,6.18
342.1024,0.4126,6.35
342.10953,0.4705,7.31
342.11944,1.721,27.97
342.12754,1.3239,21.41
342.13471,0.522,8.16
342.14592,0.5982,9.42
342.15583,0.4709,7.32
342.16391,0.4748,7.38
342.76103,0.499,7.78
343.06706,1.2517,20.22
343.08233,0.5315,8.32
343.08571,0.4644,7.21
343.09356,0.5462,8.56
343.09694,0.4366,6.75
343.10346,3.9725,65.17
343.10662,0.4438,6.87
