"M_cal";"MF";"C";"H";"N";"O";"P";"S";"O/C";"H/C";"N/C";"S/C";"DBE";"AI";"NOSC";"n_occurrence";"BottomWater";"NPEqIW";"SRNOM";"U1382A";"U1383C_Deep";"U1383C_Middle";"U1383C_Shallow"
470.08491139541;"C23H18O11";23;18;0;11;0;0;0.478;0.783;0;0;15;0.3;0.17;1;0;0;15.98961;0;0;0;0
470.10604076347;"C20H22O13";20;22;0;13;0;0;0.65;1.1;0;0;10;-0.4;0.2;7;36.06986;17.04578;44.06743;36.29218;39.45873;36.38039;33.43506
470.11727415276;"C19H22N2O12";19;22;2;12;0;0;0.632;1.158;0.1053;0;10;-0.8;0.42;3;0;0;0;5.27896;6.9754;5.73312;0
470.12129690476;"C24H22O10";24;22;0;10;0;0;0.417;0.917;0;0;14;0.3;-0.08;1;0;0;12.97962;0;0;0;0
470.12466820808;"C21H26O10S";21;26;0;10;0;1;0.476;1.238;0;0.0476;9;-0.2;-0.19;1;0;4.62844;0;0;0;0;0
470.14242627282;"C21H26O12";21;26;0;12;0;0;0.571;1.238;0;0;9;-0.3;-0.1;7;71.3473;71.37107;40.02271;65.74683;72.16643;66.57648;64.6005
470.15365966211;"C20H26N2O11";20;26;2;11;0;0;0.55;1.3;0.1;0;9;-0.6;0.1;6;6.97419;4.8883;0;6.70225;7.69427;6.95316;5.14111
470.15768241411;"C25H26O9";25;26;0;9;0;0;0.36;1.04;0;0;13;0.2;-0.32;1;0;0;9.89753;0;0;0;0
470.17881178217;"C22H30O11";22;30;0;11;0;0;0.5;1.364;0;0;8;-0.3;-0.36;7;58.41726;59.44196;23.69001;50.3645;47.4653;50.42317;49.20569
470.19406792346;"C26H30O8";26;30;0;8;0;0;0.308;1.154;0;0;12;0.2;-0.54;1;0;0;5.35328;0;0;0;0
470.21519729152;"C23H34O10";23;34;0;10;0;0;0.435;1.478;0;0;7;-0.2;-0.61;7;19.44507;16.38945;6.25585;14.9266;13.34835;14.63519;15.68825
471.10128973567;"C19H21NO13";19;21;1;13;0;0;0.684;1.105;0.0526;0;10;-0.8;0.42;3;5.55255;0;0;4.53816;5.22861;0;0
471.11654587696;"C23H21NO10";23;21;1;10;0;0;0.435;0.913;0.0435;0;14;0.2;0.09;1;0;0;3.25822;0;0;0;0
471.13767524502;"C20H25NO12";20;25;1;12;0;0;0.6;1.25;0.05;0;9;-0.6;0.1;6;10.53813;7.7063;0;8.86735;10.08589;8.96432;7.71639
471.17406075437;"C21H29NO11";21;29;1;11;0;0;0.524;1.381;0.0476;0;8;-0.4;-0.19;5;7.18913;7.11314;0;5.76379;5.64396;5.60595;0
472.02779044117;"C21H12O13";21;12;0;13;0;0;0.619;0.571;0;0;16;0.4;0.67;1;0;0;8.97024;0;0;0;0
472.04891980923;"C18H16O15";18;16;0;15;0;0;0.833;0.889;0;0;11;-1.3;0.78;1;0;0;9.54537;0;0;0;0
472.06417595052;"C22H16O12";22;16;0;12;0;0;0.545;0.727;0;0;15;0.3;0.36;1;0;0;20.82805;0;0;0;0
472.08530531858;"C19H20O14";19;20;0;14;0;0;0.737;1.053;0;0;10;-0.8;0.42;6;11.37201;0;28.49508;9.10032;10.79578;9.56661;8.86938
472.10056145987;"C23H20O11";23;20;0;11;0;0;0.478;0.87;0;0;14;0.2;0.09;1;0;0;19.55099;0;0;0;0
472.10393276319;"C20H24O11S";20;24;0;11;0;1;0.55;1.2;0;0.05;9;-0.4;0;3;0;5.95673;0;0;4.79212;4.35583;0
472.12169082793;"C20H24O13";20;24;0;13;0;0;0.65;1.2;0;0;9;-0.6;0.1;7;38.51713;19.46093;30.27046;32.18866;34.81081;32.20853;32.01108
472.13694696922;"C24H24O10";24;24;0;10;0;0;0.417;1;0;0;13;0.2;-0.17;1;0;0;16.47317;0;0;0;0
472.14031827254;"C21H28O10S";21;28;0;10;0;1;0.476;1.333;0;0.0476;8;-0.3;-0.29;1;0;8.42719;0;0;0;0;0
472.15807633728;"C21H28O12";21;28;0;12;0;0;0.571;1.333;0;0;8;-0.4;-0.19;7;46.25215;46.4245;20.39667;35.77306;35.60311;36.9625;37.0561
