m/z,I,S/N,Res.
291.19994,91.4056,983.74,2569616
292.05439,1.3041,13.97,2534825
292.08266,1.282,13.73,2889843
292.09077,1.9784,21.23,2359006
292.2033,15.8891,170.95,2540610
292.84544,1.9701,21.14,2777279
292.88182,1.3425,14.39,2404947
293.0303,5.6004,60.21,2523750
293.04554,1.5886,17.03,2273422
293.06668,12.2869,132.18,2571294
293.08194,1.6042,17.2,2970682
293.10306,16.179,174.07,2599684
293.13945,5.4048,58.11,2815549
293.17584,1.3959,14.96,1980403
293.17921,3,32.22,2539533
293.19574,4.5939,49.38,2596802
293.20666,1.4851,15.92,2786510
294.03366,1.2414,13.3,2058111
294.06194,1.65,17.69,2614206
294.07003,1.9484,20.91,2306019
294.10642,2.5877,27.79,2594557
294.19909,1.228,13.15,2455493
294.84339,3.1958,34.33,2453215
294.87978,2.5385,27.26,2668012
294.93782,10.8974,117.22,2609212
295.00956,1.6353,17.54,2197005
295.02481,1.8476,19.82,2490836
295.04594,8.7338,93.94,2593189
295.06119,2.72,29.21,2115168
295.08233,18.6214,200.36,2555160
295.09758,2.0346,21.83,2094528
295.11871,16.218,174.49,2512478
295.13398,1.1801,12.64,2861390
295.1551,2.0958,22.49,2197237
295.94118,1.2098,12.96,2564328
296.04929,1.4043,15.05,2419807
296.07756,1.4128,15.14,2850524
296.08568,3.0621,32.89,2479836
296.12207,3.0174,32.41,2548947
296.84135,1.796,19.27,2731743
296.87774,1.508,16.17,2296008
296.93487,4.5882,49.32,2379055
296.93577,13.7018,147.41,2691554
297.0252,3.7801,40.62,2533710
297.04046,3.8112,40.96,2718580
297.06159,17.7065,190.51,2640373
297.07684,4.0613,43.65,2446808
297.09797,26.0632,280.45,2552665
297.11323,2.3871000000000002,25.63,2430253
297.13436,9.8078,105.5,2487089
297.14962,1.6435,17.62,2656445
297.15298,3.9504,42.45,2597109
297.93913,1.3694,14.67,2979135
298.03571,1.2471,13.36,1514358
298.06494,3.1477,33.81,2673035
298.08021,1.3507,14.47,2058709
298.10133,4.2,45.14,2416724
298.13772,1.8854,20.23,2309171
298.81155,14.3286,154.15,2547151
298.93282,4.723,50.77,2592509
298.97439,2.2251,23.88,3370677
299.01972,2.979,32,2260131
299.04085,7.8335,84.25,2494882
299.0561,6.4039,68.86,2583830
299.07724,20.984,225.79,2548954
299.0925,5.6402,60.64,2398918
299.11362,14.0712,151.38,2525470
299.12888,3.3262,35.74,2438703
299.15001,1.8274,19.6,2802031
299.16527,1.4137,15.15,1767201
299.25048,1.7331,18.59,1582755
299.25133,1.1941,12.79,1976951
300.08059,2.6786,28.77,2578629
300.09586,1.4815,15.88,2286336
300.11699,2.061,22.12,2498538
300.8086,4.2331,45.5,2462713
300.80951,25.8433,278.09,2730846
300.999,1.2578,13.47,2714276
301.03537,4.984,53.58,2539146
301.0565,7.0307,75.61,2393309
301.07176,7.0833,76.17,2440911
301.09289,8.1387,87.53,2562359
301.10815,5.8643,63.05,2532050
301.12927,2.0593,22.1,2488183
301.14453,3.5028,37.64,2404967
301.81287,1.8617,19.97,2291676
302.03062,1.2474,13.36,1821091
302.06702,1.6518,17.71,2389520
302.07512,1.6622,17.83,2312863
302.11151,1.6887,18.11,2497666
302.80656,9.4445,101.59,2501173
302.80746,13.7616,148.05,2689763
302.91216,1.4519,15.56,2014028
303.01464,2.8413,30.52,2342677
303.05102,9.195,98.9,2534016
303.06628,1.4895,15.97,2264580
303.07215,2.4164,25.94,2292284
303.08741,10.2932,110.72,2575179
303.10854,1.7012,18.24,2804961
303.1238,7.9339,85.33,2507115
303.16018,3.1311,33.64,2327766
304.04629,1.183,9.18,2836579
304.05439,1.9109,14.89,2124588
304.08266,1.7389,13.54,2245211
304.09076,1.9281,15.02,2305739
304.12714,1.4239,11.07,2624195
304.80451,4.0919,32,2531479
305.03029,6.2463,48.89,2560374
305.04555,1.3686,10.64,2162964
305.06667,11.7868,92.35,2540144
305.08194,1.6187,12.6,1942721
305.10306,12.2646,96.1,2501986
305.13944,6.2356,48.81,2707897
305.17583,1.9596,15.27,1948972
305.1792,5.5045,43.07,2547063
305.21436,1.7497,13.62,110968
305.21455,1.5753,12.26,383480
305.21559,45.6833,358.21,2506222
306.06193,2.1761,16.97,2113761
306.07003,2.0224,15.76,1993077
306.0983,1.9701,15.35,2248267
306.10642,1.9916,15.52,2548827
306.1428,1.4695,11.43,2520526
306.21894,7.7714,60.85,2370082
306.90143,1.5879,12.36,2556129
307.00956,1.97,15.35,2573162
307.0248,1.2953,10.06,2126419
307.04594,10.4484,81.85,2428414
307.0612,2.357,18.39,2340657
307.08233,18.5385,145.3,2467044
307.09758,1.5728,12.24,2428066
307.11871,15.8494,124.21,2527101
307.1551,4.447,34.78,2242921
307.19485,2.9378,22.94,2378272
307.21139,2.3581,18.4,2305178
308.04119,1.6204,12.61,2155574
308.04929,1.5062,11.72,2397880
308.07758,2.6742,20.88,2363835
308.08568,3.4587,27.03,2382784
308.11397,1.5871,12.35,1624545
308.12207,2.8402,22.18,2267288
308.84036,1.5496,12.05,2266223
308.85905,1.3824,10.74,2452279
308.89939,1.495,11.63,2388937
309.02521,5.0493,39.5,2379443
309.04046,2.8406,22.18,2418146
309.06159,17.9706,140.85,2538706
309.07684,3.2804,25.63,2378401
309.09798,30.9636,242.76,2566119
309.11324,2.042,15.92,2251491
309.13436,13.9301,109.16,2483607
309.17075,1.7988,14.01,2577331
309.17413,1.2597,9.78,2221349
310.05684,1.6123,12.55,2207877
310.06494,2.218,17.3,2763826
310.09322,2.4508,19.12,2454898
310.10132,4.9099,38.41,2490683
310.13771,2.4771,19.33,2215666
310.83831,2.6939,21.03,2541191
311.01972,1.9998,15.59,2816483
311.04085,9.4812,74.26,2411675
311.05611,3.9735,31.07,2591378
311.07724,25.8755,202.85,2467132
311.0925,3.5732,27.93,2398617
311.11362,24.7415,193.95,2413743
311.12888,2.1937,17.11,2092258
311.15001,4.6381,36.28,2439365
311.16864,6.7629,52.94,2424302
312.05132,1.2726,9.88,1738011
312.07248,1.5274,11.88,2532691
312.08059,3.7295,29.15,2382425
312.10886,1.1735,9.1,1522673
312.11698,4.8329,37.81,2266373
312.83626,1.6538,12.87,1968310
313.02012,1.6747,13.04,2307536
313.03537,4.1285,32.28,2457203
313.03876,1.3093,10.17,1288298
313.0565,14.9021,116.78,2470835
313.07176,5.1907,40.61,2281161
313.09288,23.9269,187.57,2463806
313.10814,4.7059,36.81,2483927
313.12927,9.9314,77.8,2404167
313.14453,2.9158,22.77,2196835
314.05985,1.753,13.65,2696134
314.06699,1.4172,11.02,2479471
314.07511,1.4444,11.23,2295839
314.09624,4.2333,33.1,2470058
314.13262,2.0577,16.04,2148108
315.01463,2.215,17.27,2101367
315.03576,4.1939,32.79,2500271
315.05102,7.6605,59.98,2521489
315.07214,12.1327,95.06,2363046
315.0874,7.9281,62.08,2438452
315.10853,10.3647,81.19,2417435
315.12379,6.2446,48.88,2386326
315.14492,1.9761,15.4,2397977
315.16017,2.6726,20.86,2231989
316.04627,1.393,10.83,2220000
316.0755,1.8858,14.69,2133785
316.08264,1.5956,12.42,2541389
316.09076,1.3827,10.75,2215861
316.11188,1.826,14.22,1875750
316.92216,1.3339,10.36,2495055
317.03028,5.0978,39.88,2455821
317.05141,2.6012,20.3,2375037
317.06666,9.2731,72.63,2355901
317.07005,1.1934,9.26,1969785
317.0878,2.7039,21.11,2627612
317.10305,8.2608,64.69,2395226
317.12418,1.7162,13.36,2422125
317.13943,5.4194,42.41,2385018
317.15808,1.2607,9.79,1932360
317.16463,1.5901,12.37,1189238
317.16624,1.3923,10.82,1614332
317.17283,1.3132,10.2,1803826
317.17582,2.063,16.08,1907925
317.19365,1.1847,9.19,1748235
317.2097,1.1707,9.08,1896717
317.21794,1.3659,10.61,1851318
317.22095,1.1674,9.06,1336467
317.24912,1.2001,9.31,1470815
318.06192,1.3787,10.71,2215632
318.07002,1.5387,11.97,1894392
319.00955,1.9362,15.09,2127437
319.04593,9.4984,74.4,2282111
319.06118,1.6288,12.68,2554698
319.08231,12.3671,96.9,2381653
319.1187,10.6123,83.14,2245951
319.15509,4.4261,34.62,2300348
319.19485,3.3204,25.94,2260802
319.23123,10.304,80.72,2343819
320.04116,1.4776,11.49,2078862
320.04929,1.742,13.56,2580063
