m/z,I,S/N,Res.
296.84133,1.4476,36.64,2600424
296.87769,0.4245,10.68,2358103
296.93484,1.1074,28,2622084
296.93575,3.4143,86.54,2743031
297.09795,1.2611,31.9,2502225
297.10918,0.9813,24.8,2626255
297.12443,0.4345,10.93,2573701
297.13432,1.0033,25.36,2548416
297.15296,0.9851,24.9,2488924
298.09319,0.6857,17.3,2316143
298.12958,0.4024,10.12,2328589
298.81152,5.0779,128.75,2692683
298.93279,1.0066,25.45,2368660
298.97193,0.5355,13.49,2082984
299.07721,0.5911,14.9,2826621
299.09248,0.4243,10.67,1968407
299.1136,0.9572,24.19,2207395
299.12483,0.4317,10.86,2448675
299.12885,0.6619,16.7,2399913
299.1401,0.4989,12.56,2611923
299.16523,0.6248,15.76,1960353
299.24893,0.4998,12.59,2415694
299.71582,0.4091,10.28,1406489
300.80857,1.5473,39.17,2663949
300.80948,8.8156,223.59,2674321
301.08297,0.426,10.71,2269681
301.10812,0.7139,18.02,2628497
301.11935,0.6576,16.59,2480773
301.14449,1.0263,25.95,2523382
301.15572,0.4955,12.48,2028027
301.18087,0.6068,15.3,2076160
301.81284,0.5363,13.51,2573432
302.10334,0.4829,12.16,2439965
302.11458,0.6018,15.18,2386499
302.80652,3.0057,76.17,2632562
302.80743,5.0165,127.19,2619120
303.08737,0.7251,18.3,2718400
303.09861,0.9321,23.55,2679666
303.12376,1.6305,41.28,2686019
303.135,0.988,24.97,2422850
303.16014,1.369,34.64,2562126
304.08262,0.5408,13.63,2356409
304.11901,0.7279,18.37,2370731
304.13024,0.4892,12.32,2711576
304.80448,1.4309,36.21,2573576
305.06664,0.4463,11.23,2747440
305.07788,0.5774,14.56,2144172
305.10303,1.4045,35.54,2363519
305.11426,1.8277,46.28,2540048
305.13941,1.969,49.87,2526507
305.15064,0.5253,13.23,2616036
305.17579,0.8707,22,2460302
306.09827,0.667,16.83,2592219
306.10639,0.4929,12.41,1667633
306.10951,1.1719,29.64,2318117
306.13465,0.6256,15.78,2340824
306.14589,0.491,12.36,2599506
306.7568,0.4464,11.23,1928181
306.90139,0.9402,23.76,2682051
307.08229,0.9598,24.26,2421824
307.09352,1.8614,47.14,2549734
307.11867,2.1345,54.06,2488221
307.12991,2.1873,55.41,2348351
307.15506,1.4987,37.93,2442018
307.19145,0.4229,10.63,2658385
307.85205,0.408,10.26,1355622
308.07754,0.5914,14.91,2164746
308.08878,0.441,11.09,2848370
308.09688,0.4163,10.47,2134472
308.11392,1.1272,28.51,2415159
308.12201,0.4035,10.14,2552389
308.12516,1.0491,26.53,2452695
308.13327,0.5289,13.33,2265154
308.1503,0.4293,10.8,2946153
308.8403,0.6271,15.82,1533190
308.85902,0.7554,19.07,2496371
308.89936,1.1375,28.77,2358056
309.06155,0.4736,11.92,2162343
309.09794,1.9185,48.58,2507220
309.10917,3.1367,79.49,2470854
309.13432,2.0284,51.37,2433813
309.14555,1.2004,30.36,2246054
309.17071,0.8557,21.62,2370942
310.09319,1.0564,26.71,2375508
310.10442,0.6424,16.2,2243129
310.12957,0.802,20.25,2608068
310.83827,1.0054,25.41,2292706
311.0772,0.9044,22.85,2161609
311.08843,1.0609,26.82,2549682
311.11358,1.7625,44.63,2403793
311.12482,1.3501,34.16,2324263
311.14997,1.0116,25.57,2355783
311.1686,2.3609,59.81,2438323
312.10884,0.8597,21.72,2767283
312.17195,0.5158,12.99,1739672
312.83622,0.6213,15.67,2924596
313.09285,1.2302,31.12,2225657
313.1041,0.6126,15.45,1929116
313.12923,1.2321,31.17,2468998
313.14449,0.7623,19.25,2330789
314.05826,0.4207,10.58,1786099
314.12448,0.4799,12.08,2134490
315.08738,0.5426,13.67,2480547
315.09859,0.5463,13.77,2214095
315.1085,0.8712,22.01,2021138
315.12376,0.8377,21.16,2633118
315.135,0.5446,13.72,2079998
315.16015,1.0495,26.53,2325855
316.119,0.5435,13.7,1931752
316.13025,0.6515,16.43,2078249
316.92213,0.5101,12.85,2716497
317.10302,0.9444,23.87,2555517
317.11426,1.1206,28.34,2208911
317.13941,1.359,34.39,2558952
317.15064,0.6745,17.02,2624088
