m/z,I,S/N,Res.
299.15001,0.9677,24.78,2692547
299.16527,0.7623,19.5,2373177
300.08774,0.5485,14.01,1647834
300.11698,0.6379,16.31,2396331
300.12413,0.6737,17.23,1844270
301.07176,0.8847,22.65,2267582
301.07512,0.3792,9.67,2842000
301.08299,0.5043,12.88,2483771
301.09289,0.9826,25.16,2655318
301.10814,2.2727,58.28,2526628
301.12928,0.8514,21.79,2530088
301.14453,2.0529,52.64,2543704
301.18092,0.5315,13.58,2391691
301.36538,0.6752,17.27,1105589
302.06701,0.4283,10.93,2630215
302.1034,0.808,20.68,2465019
302.11151,0.471,12.03,2824756
302.13978,0.5766,14.74,2436869
302.14789,0.5802,14.83,2082125
303.05103,0.6358,16.25,2479060
303.08741,2.497,64.04,2546883
303.09078,0.7842,20.07,2645046
303.09864,1.0856,27.8,2516888
303.10854,0.5241,13.39,2023773
303.12379,4.4447,114.05,2506255
303.13504,0.6619,16.93,2606822
303.16018,2.0349,52.18,2458932
303.19657,0.4087,10.42,2266411
303.56278,0.4011,10.23,1307787
304.08266,0.963,24.66,2330559
304.09078,0.4403,11.24,1798863
304.11904,1.1361,29.1,2568590
304.12714,0.9527,24.39,2398024
304.15541,0.4074,10.39,1808184
304.16354,0.416,10.61,2054055
305.05206,2.3139,59.34,2518396
305.06668,1.3567,34.76,2569596
305.0779,0.6481,16.57,2452151
305.10306,4.7425,121.7,2414811
305.11429,1.5682,40.2,2423181
305.12241,0.4006,10.22,2109424
305.13945,4.1104,105.47,2484504
305.17583,0.8187,20.95,2765596
306.06192,0.5021,12.82,2581476
306.09831,1.7984,46.11,2528217
306.10641,0.8467,21.67,2227075
306.13469,0.9941,25.45,2472354
306.1428,0.8106,20.74,2283654
307.04595,0.4857,12.4,1975228
307.08233,3.6322,93.19,2404837
307.09356,1.6241,41.63,2501880
307.11871,7.2185,185.27,2480122
307.12995,1.3311,34.11,2605611
307.15093,0.4333,11.06,1349319
307.1551,2.7539,70.64,2510760
307.19147,0.3984,10.16,1938223
308.07757,1.442,36.95,2283074
308.08568,0.6565,16.79,2698321
308.11396,2.7167,69.68,2478031
308.12207,1.508,38.65,2455940
308.1252,0.438,11.18,2207260
308.15035,0.5287,13.51,2393228
308.15845,0.5273,13.47,2453571
308.39701,0.3862,9.85,1769245
309.06159,1.3748,35.23,2460921
309.07282,0.4599,11.74,2236526
309.09798,8.2371,211.42,2564473
309.1092,1.8953,48.59,2494058
309.11324,0.4067,10.37,2695431
309.11731,0.4183,10.67,2098922
309.13436,7.347,188.57,2498443
309.14559,0.4728,12.07,2744581
309.17075,1.0868,27.84,2689422
310.09323,2.5471,65.33,2554181
310.10133,1.1183,28.64,2635621
310.11258,0.5362,13.7,2031030
310.12961,1.4904,38.2,2528769
310.13772,1.0454,26.77,2424342
311.07724,3.0448,78.11,2523199
311.08848,0.7941,20.32,2296782
311.09248,0.5923,15.14,1906388
311.09658,0.4057,10.35,1931126
311.11363,7.6852,197.25,2439885
311.12486,0.9632,24.66,2282073
311.12889,0.6632,16.96,2164044
311.15001,2.6207,67.22,2336487
311.16864,1.7205,44.11,2575256
312.07249,0.5121,8.97,2185695
312.0806,0.5341,9.37,2342948
312.10887,1.78,32.1,2530188
312.11698,1.2105,21.71,2594465
312.12414,0.4306,7.48,1814260
312.172,0.5083,8.9,1975425
313.0565,0.5823,10.25,2216754
313.07176,0.506,8.86,2467050
313.09289,4.4076,80.03,2423360
313.10814,1.3506,24.26,2428632
313.12928,4.2577,77.3,2443151
313.14453,1.3071,23.47,2551405
313.16566,0.4868,8.51,2052771
314.08814,0.5537,9.73,2433969
314.09624,0.7859,13.96,2379493
314.10338,0.5513,9.68,2508304
314.12451,0.6166,10.87,2183443
314.13263,0.7667,13.61,2246785
314.13978,0.5249,9.2,1820994
315.05102,0.5084,8.9,2557634
315.07214,0.8964,15.98,2238983
315.0874,1.5201,27.36,2479973
315.09075,0.5876,10.35,2327949
315.09863,0.6927,12.26,2425639
315.10853,2.5701,46.51,2569546
315.12379,2.6746,48.42,2428861
315.13503,0.5055,8.85,2187457
315.14492,1.0436,18.66,2228530
315.16018,1.5327,27.59,2531347
316.02433,0.3853,6.65,1172114
316.08265,0.6627,11.71,2410995
316.11904,0.8816,15.71,2028988
316.12713,0.4277,7.43,2490322
316.15543,0.4247,7.37,1677143
317.06665,0.7746,13.76,2320771
317.07004,0.7146,12.66,2068908
317.07789,0.4438,7.72,1232087
317.0878,0.4789,8.36,2380227
317.10305,2.8128,50.94,2322878
317.10642,0.4765,8.32,2792823
317.11428,0.9754,17.42,2075264
317.12418,0.6218,10.97,1729180
317.13943,3.1511,57.11,2413423
317.1507,0.4371,7.6,2776707
317.17582,0.9815,17.53,2278269
318.09829,0.8739,15.57,2180160
318.10639,0.5645,9.92,2257416
318.13468,0.8657,15.42,2278591
318.14279,0.7714,13.7,2134890
318.31085,0.3841,6.63,1412477
319.04592,0.4555,7.94,1911463
319.05714,0.3972,6.87,2292830
319.08231,2.613,47.29,2273156
319.08568,0.6772,11.98,2507565
319.09355,1.2305,22.07,2497548
319.1187,5.6565,102.81,2346139
319.12993,1.1882,21.3,2375502
319.15508,3.0074,54.49,2433638
319.19145,0.4306,7.48,2567292
319.57099,0.3862,6.67,1605784
320.07756,1.087,19.45,2286158
320.08566,0.5098,8.93,2362508
320.11394,2.0451,36.93,2396385
320.12205,1.4007,25.18,2288906
320.15033,0.6874,12.17,2184132
320.15843,0.832,14.8,2068631
321.06158,1.4535,26.14,2358666
321.07283,0.6859,12.14,2401898
321.09798,8.1115,147.6,2463252
321.1092,2.9701,53.81,2419302
321.13436,9.2945,169.18,2465052
321.14559,0.6929,12.27,2199590
321.17075,2.3346,42.21,2327613
322.05684,0.5214,9.14,2179410
322.09322,3.6055,65.4,2463435
322.10133,1.5989,28.79,2320555
322.10445,0.4134,7.17,2240582
322.11256,0.5143,9.01,2828394
322.12961,2.5168,45.54,2441540
322.13772,1.7489,31.53,2478281
322.14083,0.4108,7.12,2091207
322.1741,0.584,10.28,2056083
323.04086,0.4534,7.9,2367889
323.07724,4.8067,87.31,2448717
323.08847,1.6395,29.53,2332173
323.09658,0.5704,10.03,2516024
