m/z,I,S/N,Res.
294.10954,0.7657,15.81,2603920
294.42429,0.4286,8.8,1083346
294.8434,2.1704,45.02,3014067
294.93783,0.8392,17.33,2587498
295.08234,0.857,17.7,2211388
295.09357,1.1643,24.1,2561423
295.11872,1.333,27.6,2356536
295.12995,0.9958,20.59,2877854
295.13735,0.4399,9.03,1922679
295.15511,0.4662,9.58,2584772
295.62831,0.4149,8.51,2432710
296.11396,0.6351,13.09,2206810
296.84135,1.4976,31.03,2535769
296.85904,0.6158,12.69,2945116
296.93578,0.9689,20.03,2609921
297.0616,0.4408,9.05,2246251
297.09798,1.49,30.87,2494133
297.10921,1.2861,26.63,2619505
297.13436,1.0702,22.14,2449403
297.14961,2.4475,50.78,265237
297.15194,0.6809,14.04,343145472
297.15206,0.6516,13.43,523239
297.15299,35.4204,736.43,2539413
297.84731,0.4557,9.36,2504293
298.09322,0.5128,10.55,2777181
298.15634,6.6509,138.18,2613322
298.81155,1.4401,29.83,2747206
298.857,0.4762,9.79,17119356
298.97325,0.8208,16.95,2305936
299.07724,0.6755,13.93,2628641
299.09249,0.5441,11.2,2173564
299.09586,0.4378,8.99,2344031
299.10372,0.5635,11.6,2225175
299.11362,0.8841,18.27,2967554
299.12486,0.4522,9.29,2320488
299.12889,0.8273,17.09,2239514
299.14012,0.4491,9.22,2599605
299.14878,1.6365,33.91,2568878
299.15971,0.4055,8.32,2381290
299.16527,0.5043,10.37,2499175
299.24952,0.4484,9.21,2111117
299.25026,0.4606,9.46,3417569
300.12413,0.4436,9.11,2655807
300.8086,0.4786,9.84,2672315
300.80951,2.6947,55.92,2596281
301.09289,0.6055,12.48,2608731
301.10814,0.695,14.34,2242034
301.11939,0.6989,14.42,2294357
301.12928,0.467,9.6,2664085
301.14453,1.0177,21.05,2495269
301.15575,0.514,10.57,2526777
301.18092,0.4205,8.63,2594594
302.11464,0.6642,13.7,2539128
302.13978,0.4595,9.44,2103062
302.80656,1.078,22.3,2505264
302.80746,1.6015,33.19,2682885
302.93326,0.4051,8.31,1584278
303.0874,0.5505,11.33,2295003
303.09864,0.9423,19.48,2828175
303.10853,0.5163,10.62,1809854
303.1238,1.5852,32.85,2734805
303.13503,0.9331,19.29,2529199
303.16019,1.2022,24.88,2371841
304.0939,0.5386,11.08,3000964
304.11904,0.5571,11.47,2704574
304.13028,0.697,14.38,2240261
305.07791,0.5741,11.82,2017310
305.10307,1.2936,26.78,2446162
