m/z,I,S/N,Res.
299.24785,0.4705,12.86,1035483
299.24949,0.6084,16.63,2581479
299.34619,0.4728,12.92,1171012
300.12418,0.5774,15.79,2193836
300.49991,0.4711,12.87,2033195
300.80864,1.5765,43.17,2546761
300.80955,8.5046,233.05,2628003
301.09294,0.4811,13.14,1390053
301.10819,0.9231,25.26,2573450
301.11942,0.6545,17.9,2377898
301.14457,1.0736,29.38,2723708
301.18095,0.524,14.32,2295530
301.81289,0.6835,18.69,2458591
302.11467,0.5892,16.11,2384145
302.8066,3.182,87.17,2659269
302.8075,4.6785,128.19,2576783
302.87178,0.5265,14.39,1624290
302.88559,0.4674,12.77,2445969
302.8923,0.4829,13.19,1608332
302.89406,0.5003,13.67,1421255
302.89688,0.5827,15.93,1773644
303.08746,0.7586,20.75,2370568
303.09869,1.0884,29.79,2427600
303.10859,0.4784,13.07,2143846
303.12384,1.6362,44.8,2651480
303.13507,0.9387,25.69,2503478
303.16022,1.393,38.14,2623783
303.19998,0.4766,13.02,1279061
304.08269,0.5062,13.83,2637872
304.11909000000003,0.772,21.12,2759398
304.12721,0.471,12.87,2177743
304.13033,0.6688,18.29,2135773
304.23676,0.7972,21.81,2194490
304.80456,1.455,39.84,2356492
305.1031,1.3765,37.69,2481811
305.11433,2.033,55.68,2462619
305.13949,1.9625,53.75,2439700
305.17587,1.0043,27.48,2542434
306.08511,0.5533,15.12,1849346
306.09834,0.7071,19.34,2267027
306.10958,1.4278,39.09,2237421
306.13473,0.8207,22.45,2383040
306.14595,0.4735,12.94,1499699
306.87983,0.5485,14.99,2468369
306.90147,0.8492,23.23,2893030
306.90712,0.6521,17.83,1720326
307.08236,0.8571,23.45,2844488
307.0936,1.9917,54.55,2447963
307.11875,2.2407,61.37,2484386
307.12998,2.5923,71.01,2524774
307.15514,1.8821,51.54,2372255
307.19152,0.5365,14.66,2150007
308.07762,0.4812,13.15,2235861
308.09694,0.5445,14.88,2702096
308.114,1.3655,37.38,2348628
308.1221,0.5294,14.47,2628850
308.12523,1.1283,30.88,2247894
