m/z,I,S/N,Res.
296.08568,0.6576,9.26,2372164
296.11396,2.4605,35.18,2670927
296.12207,1.2577,17.89,2678746
296.12519,0.6478,9.12,2632565
296.15034000000003,0.5461,7.66,2167088
296.84135,1.5893,22.66,2704600
296.87774,0.7861,11.11,2272668
296.93487,1.3656,19.44,2673784
296.93578,3.8967,55.82,2746622
297.06159,2.416,34.54,2565430
297.07283,0.6355,8.95,2604641
297.07684,0.5364,7.52,1746402
297.09798,9.5962,137.74,2639310
297.10921,2.5783,36.87,2557128
297.11732,0.7458,10.53,1151214
297.13436,6.0713,87.07,2638396
297.14559,0.5642,7.92,2548028
297.15299,3.4067,48.78,2761600
297.17075,0.6969,9.83,2782664
298.05684,0.5794,8.14,1395358
298.06494,0.5549,7.79,1856606
298.09323,3.0267,43.32,2582760
298.10133,1.4899,21.23,2674218
298.12962,1.3889,19.77,2658809
298.13772,1.2094,17.2,2642062
298.15634,0.6438,9.07,2325895
298.81155,5.9322,85.07,2695573
298.93282,1.3092,18.63,2338996
299.07724,4.9856,71.47,2708000
299.08848,0.7671,10.84,2362220
299.0925,0.8002,11.31,2619190
299.09659,0.5616,7.88,2519609
299.11362,6.897,98.94,2583691
299.12486,0.6823,9.62,2660406
299.12889,1.0667,15.15,2603109
299.15001,1.7961,25.63,2740087
299.16526,0.7641,10.8,1391785
299.2488,0.5576,7.83,2058690
299.24992,0.7372,10.41,2910680
300.07249,0.6088,8.56,2542829
300.08059,0.6679,9.41,2109971
300.10888,1.1379,16.17,2689812
300.11698,1.0644,15.11,2474093
300.49997,0.5747,8.07,1762411
300.8086,1.7798,25.39,2551731
300.80951,9.7135,139.42,2616483
301.0565,0.9141,12.95,2571646
301.07176,0.6816,9.61,2088054
301.09289,3.9814,57.04,2606942
301.10815,1.0396,14.75,2708755
301.11939,0.8261,11.69,2383252
301.12927,2.3355,33.38,2626859
301.14453,1.5552,22.17,2496047
301.18091,0.7772,10.98,2233386
301.36544,0.7162,10.11,2225342
301.81286,0.784,11.08,2550772
302.09624,0.6816,9.61,2528964
302.1034,0.6,8.44,2617987
302.13262,0.5164,7.23,1777760
302.13978,0.5485,7.7,2285501
302.80656,3.6813,52.72,2633688
302.80746,5.2895,75.84,2602510
302.86694,0.5005,7.01,1914180
302.87061,0.4995,6.99,2713519
302.87193,0.569,7.99,2605387
302.87344,0.7332,10.35,947251
302.87376,0.846,11.97,2047248
302.87405,0.5314,7.45,2148653
302.87564,0.6006,8.45,1769053
302.87671,0.8192,11.59,1513258
302.89271,0.5419,7.6,1898586
302.91218,0.5025,7.04,2268900
303.05103,0.533,7.47,2610581
303.05438,0.6563,9.25,1988056
303.06225,0.5329,7.47,1931499
303.07215,1.1256,15.99,2499572
303.08741,1.7918,25.57,2407979
303.09865,1.3509,19.23,2445707
303.10854,1.4122,20.11,2691060
303.12379,3.2611,46.68,2397406
303.13503,1.031,14.63,2754081
303.16018,2.3072,32.97,2334936
303.81082,0.5244,7.35,1954812
303.99868,0.5716,8.03,1728449
304.08266,0.9909,14.05,2469760
304.11905,1.1622,16.52,2494806
304.12716,0.6077,8.55,2223314
304.23705,0.6015,8.46,2705395
304.80452,1.5008,21.38,2615643
305.06667,1.2251,17.42,2709918
305.07791,1.0097,14.33,2442339
305.10306,4.1864,59.98,2508505
305.11429,2.551,36.48,2525967
305.13945,3.9005,55.87,2521522
305.15067,0.5932,8.34,2973481
305.17583,1.7135,24.44,2521761
306.06193,0.6594,9.29,2222405
306.09831,1.9519,27.87,2589751
306.10641,0.7675,10.84,2565799
306.10955,0.873,12.36,2549714
306.11763,0.558,7.83,2373080
306.1347,1.196,17,2294037
306.14281,0.846,11.97,2244179
306.87979,0.6717,9.47,2264237
306.90144,0.6791,9.57,2605594
306.90709,0.7121,10.05,2082644
307.04594,0.6648,9.37,2187156
307.08232,4.3887,62.89,2536389
307.09356,3.2502,46.53,2609076
307.11871,9.1169,130.85,2504829
307.12994,3.1545,45.15,2436857
307.1551,4.1424,59.35,2421116
307.19149,0.8767,12.41,2557929
307.65458,0.7462,10.54,2199224
308.07758,2.2878,32.7,2438762
308.08568,0.7366,10.4,2748196
308.08881,0.5855,8.23,2700303
308.09691,0.5341,7.49,2442092
308.11396,3.825,54.79,2413121
308.12206,1.6435,23.43,2562481
308.12519,0.9589,13.6,2687687
308.1333,0.5698,8,2586809
308.15034000000003,1.0604,15.05,2537338
308.15846,0.8742,12.38,2140232
308.84036,0.6833,9.63,2537682
308.8994,0.8129,11.5,2387399
309.06159,2.3181,33.13,2425786
309.07282,1.2707,18.08,2118177
309.09798,11.4481,164.35,2479015
309.10921,5.6696,81.3,2538595
309.11732,0.634,8.93,2604932
309.13436,10.2127,146.6,2460962
309.1456,1.614,23.01,2510949
309.17074,2.4352,34.81,2495942
310.05683,0.8819,12.49,2211444
310.09323,4.4758,64.14,2424800
310.10133,1.6943,24.16,2631428
310.10447,0.7305,10.31,2408316
310.11257,0.8986,12.73,2442457
310.12961,2.7768,39.72,2444214
310.13771,1.6686,23.8,2487294
310.83831,1.3165,18.73,2316887
311.04086,0.6939,9.79,2692614
311.07724,6.6408,95.26,2514538
311.08847,2.2242,31.78,2436669
311.11363,13.9986,201.01,2537829
311.12486,2.5273,36.14,2312491
311.15001,4.4663,64.01,2393276
311.16864,6.2317,89.38,2531080
312.07249,1.8059,25.77,2419556
312.0806,1.0277,14.58,2319696
312.10888,3.7214,53.3,2423401
312.11698,2.2432,32.05,2318191
312.14526,0.7229,10.2,2255198
312.15337,0.9462,13.41,2716759
312.17199,1.3254,18.86,2302282
312.83627,0.6319,8.9,2743706
313.05651,2.0711,29.58,2576810
313.07174,0.5978,8.41,1737798
313.09289,11.3254,162.59,2516036
313.10412,1.4453,20.59,2320519
313.10815,0.7683,10.86,2335593
313.11223,0.5508,7.73,3104316
313.12928,9.1116,130.77,2482171
313.14052,0.5277,7.4,2311134
313.14453,0.7659,10.82,2671374
313.16566,1.0357,14.7,2714692
313.1809,0.5097,7.14,2128670
314.08813,1.9202,27.41,2520600
314.09624,1.8532,26.45,2370869
314.10341,0.4989,6.98,2363374
314.12452,1.2857,18.29,2410869
314.13263,1.6436,23.44,2580837
315.07215,4.2957,61.55,2502503
315.08741,0.846,11.97,2049761
315.09863,0.6912,9.75,2015236
315.10854,7.3371,105.27,2477159
315.12379,1.8475,26.37,2305958
315.13503,0.5928,8.33,1898632
315.14492,2.3578,33.7,2399228
315.15845,0.6193,8.71,2095117
315.16017,1.3328,18.97,2259743
316.08266,0.5053,7.07,1374814
316.10379,0.7611,10.75,2220898
316.11189,1.0768,15.29,2358229
316.11905,0.7729,10.92,2195801
317.06667,0.7185,10.14,2605129
317.07003,0.711,10.03,1915375
317.07791,0.5585,7.84,2266333
317.0878,2.3236,33.21,2461409
317.10305,2.1787,31.13,2375936
317.11429,1.1249,15.98,2542975
317.12418,1.798,25.66,2271847
317.13944,2.8606,40.93,2355820
317.15068,0.6138,8.64,2366537
317.17583,1.1815,16.79,2585236
317.20327,0.5023,7.03,1731787
317.22024,0.575,8.08,1452636
317.22624,0.7122,10.05,2845407
317.22644,0.5856,8.23,3322281
317.22689,0.6215,8.75,2772931
317.22759,0.559,7.85,2420477
317.22843,0.6488,9.14,1426161
317.23047,0.5578,7.83,1757409
317.23103,0.5391,7.56,2365020
317.23296,0.6612,9.32,1994637
317.23431,0.5332,7.48,1475194
317.23641,0.5606,7.87,1793088
317.24016,0.5573,7.82,1543779
317.24623,0.5,7,2010295
317.24867,0.5761,8.09,2438669
317.25301,0.5051,7.07,1615573
318.09831,0.8544,12.09,2316769
318.10953,0.7502,10.6,2241137
318.13468,0.9002,12.75,2206728
318.92012,0.5038,7.05,2535296
319.08232,2.2747,32.51,2528315
319.08568,0.55,7.72,2027861
319.09355,1.9522,27.87,2394343
319.10346,0.5326,7.47,2897138
319.1187,5.552,79.61,2418197
319.12994,1.8868,26.93,2251816
319.15509,3.8291,54.85,2426993
319.19148,0.9936,14.09,2416441
320.07756,1.6152,23.03,2483591
320.08566,0.5369,7.53,2142432
320.11395,2.4292,34.73,2314571
320.12205,1.1068,15.72,2569890
320.12519,1.3651,19.43,2232472
320.15034000000003,0.9493,13.46,2191354
320.15843,0.8635,12.22,2104899
320.92275,1.0887,15.46,2613281
321.0616,1.8958,27.06,2462726
321.07284,1.1629,16.53,2403642
321.09798,9.4362,135.44,2503068
321.10921,6.6376,95.21,2423326
321.13437,11.7124,168.15,2452954
321.1456,1.8749,26.76,2398902
321.17075,4.0876,58.56,2491266
321.20712,0.605,8.51,2351605
321.21051,0.6005,8.44,2326010
322.05685,1.0294,14.61,2227811
322.09323,5.3636,76.9,2398333
322.10133,1.9042,27.18,2238827
322.10446,1.4678,20.91,2584085
322.11256,1.226,17.43,2360303
322.12961,3.7784,54.12,2519644
322.13772,2.3059,32.96,2636230
322.14084,1.0167,14.43,2589209
322.166,0.7366,10.4,2314549
322.17409,1.2084,17.18,2408234
322.83831,0.6492,9.14,1964836
322.856,0.6363,8.96,2105009
322.87469,0.6713,9.46,2224062
322.89635,0.5158,7.23,2083604
323.03722,0.5989,8.42,2092782
323.04085,0.8956,12.69,2014390
323.07724,7.9832,114.55,2460778
323.08847,4.2941,61.53,2432037
323.09658,0.8576,12.14,2237010
323.11362,20.0132,287.46,2435225
323.12486,6.9099,99.13,2467021
323.15001,10.453,150.05,2421782
323.16125,0.5852,8.22,2576124
323.1864,2.0225,28.88,2371780
324.07249,3.1983,45.78,2447587
324.08059,1.1171,15.87,2638519
324.09183,0.5398,7.57,2491450
324.10888,6.9889,100.26,2338596
324.11698,3.1114,44.53,2340487
324.12011,0.8888,12.59,2562504
324.12821,1.2549,17.85,2350532
324.14526,2.1399,30.57,2237736
324.15337,2.2205,31.73,2153070
324.18169,0.513,7.19,1362718
324.18974,0.5,7,2452278
324.85396,0.5419,7.6,2739699
325.0565,3.3633,48.15,2401452
325.06773,1.0065,14.28,2062393
325.07585,0.788,11.14,1863759
325.09289,20.3603,292.45,2385516
325.10412,5.6055,80.38,2408453
325.11223,1.3207,18.8,2285098
325.12928,20.7621,298.22,2335185
325.14051,2.4225,34.63,2445474
325.14454,0.6899,9.73,2287423
325.16566,4.7976,68.77,2453091
325.18429,11.2612,161.67,2422845
326.05987,0.6168,8.68,2168929
326.08814,6.0054,86.13,2375311
326.09625,3.5091,50.25,2337853
326.09938,0.6153,8.66,2246228
326.10748,0.8775,12.43,2236451
326.12453,5.0643,72.6,2445218
326.13263,3.579,51.25,2342936
326.1609,0.7359,10.39,1729481
326.16901,1.0307,14.63,2306394
326.18764,2.3695,33.87,2210258
326.80647,1.2996,18.49,2535283
327.05439,0.527,7.39,1707568
327.07215,10.3664,148.81,2366073
327.08338,1.7062,24.34,2395670
327.0874,0.6539,9.21,2568876
327.09148,1.0297,14.61,2753816
327.09863,0.605,8.51,1019029
327.09958,0.5537,7.77,1531813
327.10854,26.2391,376.94,2427613
327.11978,2.6946,38.54,2355238
327.1238,1.0822,15.37,2581321
327.12788,0.9231,13.08,2318624
327.13502,0.5342,7.49,2121119
327.14492,11.0357,158.43,2383252
327.16018,1.0967,15.58,2236810
327.18007,0.797,11.27,2212086
327.18131,1.1967,17.01,1944032
327.19658,0.6081,8.55,2005712
328.0674,1.304,18.56,2427072
328.07551,1.9107,27.28,2223114
328.08263,0.5173,7.25,2155777
328.10379,4.3531,62.38,2334641
328.1119,4.5986,65.91,2383303
328.11904,0.6218,8.75,2107532
328.12312,0.579,8.13,2096360
328.14018,1.5667,22.33,2050806
328.14827,1.9149,27.34,2381759
328.80442,2.1372,30.53,2397361
328.82212,0.6054,8.51,2752824
329.05142,2.0704,29.57,2270974
329.07004,0.9132,12.94,1519853
329.07788,0.5364,7.52,1701412
329.08781,11.5993,166.53,2376027
329.09904,0.9009,12.76,2090438
329.10305,1.677,23.92,2239837
329.10644,0.5554,7.8,1062515
329.10714,0.643,9.05,2403586
329.11429,0.8003,11.31,2429045
329.12419,11.9589,171.7,2423998
329.13541,0.5624,7.9,2105012
329.13945,1.9579,27.95,2467118
329.16057,2.0106,28.71,2355192
329.17584,1.4619,20.82,2551694
330.08305,1.0649,15.12,2165172
330.09116,1.8298,26.11,2324920
330.09831,0.534,7.49,1859373
330.11944,1.0537,14.96,2159131
330.12754,1.7206,24.54,2317634
330.13469,0.9187,13.02,2286581
330.80238,1.1185,15.89,2307565
330.82008,1.3589,19.34,2469498
331.06707,2.099,29.98,2405753
331.08233,1.8291,26.1,2309689
331.0857,0.9384,13.3,2585665
331.09356,1.365,19.43,2265933
331.09539,0.8024,11.35,2058864
331.10346,5.5249,79.22,2351874
331.11872,3.8442,55.06,2294885
331.12995,1.2801,18.21,2351838
331.13984,2.4032,34.35,2271979
331.1551,3.8474,55.11,2409548
331.19147,1.0714,15.21,2254584
331.85364,0.6821,9.62,2485259
332.07758,0.8723,12.35,2329532
332.08094,0.5279,7.4,2379013
332.10682,0.8852,12.54,2466285
332.11396,1.7097,24.39,2440908
332.12207,1.1063,15.71,2333798
332.12519,1.4965,21.32,2208448
332.1432,0.6241,8.78,1638560
332.15035,1.1082,15.74,2236335
332.15845,0.887,12.56,2470791
332.77258,1.6045,22.87,2527633
332.79944,0.5206,7.3,1627525
332.81713,0.6906,9.74,1804950
332.81802,0.8506,12.04,2238355
332.96499,0.608,8.55,1634533
332.97672,0.5099,7.14,2530068
333.00452,0.634,8.92,2368646
333.00878,0.6509,9.17,2011017
333.01093,0.539,7.56,2287786
333.0112,0.5915,8.31,2560954
333.01342,0.6429,9.05,2154349
333.01535,0.5107,7.15,1838694
333.01646,0.6302,8.87,2242628
333.019,0.6144,8.64,2942371
333.01937,0.7963,11.26,845737
333.02172,0.6172,8.68,2017207
333.02344,0.5987,8.42,1772512
333.02455,0.5468,7.67,1912137
333.02911,0.5657,7.94,2055032
333.04054,0.6389,9,1703221
333.04111,0.6094,8.57,2425136
333.05405,0.5194,7.28,1598820
333.05605,0.5242,7.35,2333889
333.06159,1.3042,18.56,2453535
333.06496,1.3484,19.19,2178619
333.07282,0.9359,13.26,2301715
333.07465,0.7431,10.49,2170650
333.08272,1.2702,18.07,2389518
333.09798,6.5483,93.93,2367011
333.10135,1.0254,14.55,2175459
333.10921,4.0992,58.73,2231845
333.11103,0.5845,8.21,2300405
333.11911,1.419,20.21,2359709
333.13239,0.4994,6.99,3443801
333.13285,0.5159,7.23,2652846
333.13436,11.2573,161.61,2401156
333.14559,2.045,29.21,2162500
333.17075,5.1191,73.39,2320990
333.20713,0.6495,9.15,2484554
